Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2010","2010","kg/ha","567","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2011","2011","kg/ha","358.3","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2012","2012","kg/ha","636.5","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2013","2013","kg/ha","519.3","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2014","2014","kg/ha","629.8","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2015","2015","kg/ha","539.1","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2016","2016","kg/ha","592.6","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2017","2017","kg/ha","566.5","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2018","2018","kg/ha","619.2","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2019","2019","kg/ha","607.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2020","2020","kg/ha","591.7","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2021","2021","kg/ha","555.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2022","2022","kg/ha","581.4","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2023","2023","kg/ha","556.5","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0118","Millet","2024","2024","kg/ha","535.4","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2010","2010","kg/ha","724.1","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2011","2011","kg/ha","628.3","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2012","2012","kg/ha","1011.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2013","2013","kg/ha","730.4","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2014","2014","kg/ha","841.4","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2015","2015","kg/ha","777.6","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2016","2016","kg/ha","831.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2017","2017","kg/ha","824.7","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2018","2018","kg/ha","867.2","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2019","2019","kg/ha","868.6","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2020","2020","kg/ha","839.7","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2021","2021","kg/ha","793","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2022","2022","kg/ha","844.9","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2023","2023","kg/ha","795.1","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5412","Yield","0114","Sorghum","2024","2024","kg/ha","716.2","A","Official figure",""
